Artist	Title
20syl	Dust Clouds
20syl	Kodama
20syl	Swimming Stone
20syl, Oddisee	Ongoing Thing
20syl, Rita J	Voices
Bernhoft, C2C	Shout - C2C Remix (Long Version)
Clem Beatz, Miae	Way Out
Conrad.	we stayed up all night
DLG.	Out of State
Froman	If You Were
Hiatus Kaiyote	Red Room
Inüit, 20syl	Tomboy (20syl Remix)
Lomelda	Hannah Sun
Maribou State	Natural Fools
Mura Masa	Lovesick
Point Point	Hands
Shlohmo	Seriously
The Dø	Travel light
Tom VR	October
Uppermost, OBu	Warm Winter
cute girls doing cute things	Let's Go!
cute girls doing cute things	My Fantasy
nimino	Shaking Things Up
piri, Tommy Villiers	updown
