Artist	Title
.zip	West Broadway
2hollis	poster boy
2hollis	trauma
AVELLO	ELECTRIC LOVE
AVELLO, HXRT	ELECTRIC LOVE
Ada Rook	KNOW YOURSELF
Adele	Rolling in the Deep
Anri	SHYNESS BOY
Anri	悲しみがとまらない　I CAN'T STOP THE LONELINESS
Ariana Grande, Zedd	Break Free
Atura	LIKE THIS
BGMer	Awaken
Blue Foster	IDK If I'm a Boy
Boards of Canada	Olson
Charli xcx	Track 10
Cobra Starship, Sabi	You Make Me Feel... (feat. Sabi)
Contrecoeur	Pretty Face
DJ_Dave, kitty ray	Still Miss U
Deejay Laura, DJ Oskar	Our Love - Original Mix
Dua Lipa	Don't Start Now
Echonaut	I've Got You
Erasure	Love to Hate You
Eugene Loner	Sunset Dance - Original Mix
FAKE TYPE., 花譜	マンネリウィークエンド
Future Dynamic	Memories (Why does it hurt?)
Gangplans, Unravel	Bust the Way You Were (feat. Unravel)
Geo Felix	upag
Habstrakt	Inwards
Harold van Lennep	Liberation - Extended Mix
Hektor	Automatic
Hugo TSR	Là-Haut
JOINJOY	Khruangbin
Joey Bada$$	Head High
Juice WRLD, YoungBoy Never Broke Again	Bandit (with YoungBoy Never Broke Again)
Juju Bxan!, hunchosvoid	PMBOYL (Bonus)
Juliet Ivy	we're all eating each other
Justin Bieber, Nicki Minaj	Beauty And A Beat
Kendrick Lamar	N95
Kesha	Die Young
Kierxn, CODIA	Ghost - CODIA Remix
Knuckle Puck	Gold Rush
Lamp	Kimiga Nakunara
Larimae	Flutter
Les Gordon	Syntropia
Level The City	Inspiration at Last
Lil Pump	Boss
Lot	asphalt
Lucenzo, Don Omar	Danza Kuduro
M83	Midnight City
MGMT	Time to Pretend
Martin Stürtzer	Doppler Shift
Mikazuki BIGWAVE	Emotional Prism
Noche, Timmmm	I Need Someone
Nowfeel	Days Now
Ofenbach	Around the Fire
Ourman	Hyperion
Philippine	CARDIO - Version Club
Playboi Carti	@ MEH
RADWIMPS	Sparkle - Original Version
Rob Gasser	Whole - Rob Gasser Remix
Ryan Leahan	Heaven
SOPHIE	Immaterial
SUICIDAL-IDOL	ecstacy
Serge Pavkin	Reflected Light
Seth XVI	Come & See
Sgarz	interface
Shankz	Too Late
Sub Urban	Cradles
SyKo	#BrooklynBloodPop!
Synthetic Monarch, Aash Durg	Chrysopoeia
Talisco	Thousand Suns
Teddybears, Iggy Pop	Punkrocker (feat. Iggy Pop) - As featured in Superman
Tevvez	Legend
The Marías	No One Noticed
Télépopmusik, Angela McCluskey	Breathe
Venjent	Till Death We Do Art
Vicetone, Cozi Zuehlsdorff	Nevada - Sped Up
Volker Bertelmann	Remains
WILLIE G	TEETH
Yael Naim	New Soul
aidn.	dancewithme
ecentral	Poster Boy - Super Slowed
ishikinonaikranke	daishinkainoatena - Instrumental
ivri	tower of memories
kobzx2z, Myla	you broke my heart
risus	Lingering
salute, Sammy Virji	Peach
seonxi	Stars
sora	Pause
wilt	without you
Ásgeir	Head in the Snow
那艺娜	爱如火
