Artist	Title
ILLIT	Almond Chocolate
ILLIT	Cherish (My Love)
ILLIT	Lucky Girl Syndrome
ILLIT	Lucky Girl Syndrome (Sped Up)
ILLIT	Magnetic
ILLIT	Magnetic (City Night Remix)
ILLIT	Magnetic (Starlight Remix)
ILLIT	NOT CUTE ANYMORE
ILLIT	NOT CUTE ANYMORE (Holiday Party ver.)
ILLIT	Toki Yo Tomare
ILLIT, Sophie Powers	jellyous (Feat. Sophie Powers)
KISS OF LIFE	Sticky
MINNIE	Blind Eyes Red
MINNIE	HER
MINNIE, YUQI	Drive U Crazy
NewJeans	Attention (250 Remix)
NewJeans	Cookie
NewJeans	ETA
NewJeans	How Sweet
NewJeans	New Jeans
NewJeans	OMG
NewJeans	Right Now
NewJeans	Super Shy
NewJeans	Supernatural
PinkPantheress	Break It Off - Bonus
PinkPantheress	Illegal
PinkPantheress	Pain
PinkPantheress	Romeo
PinkPantheress, Bladee	Stateside + Bladee
PinkPantheress, Ice Spice	Boy's a liar Pt. 2
PinkPantheress, JT	Noises + JT
PinkPantheress, Nia Archives	Illegal + Nia Archives
PinkPantheress, Oklou	Girl Like Me + Oklou
PinkPantheress, Sam Gellaitry	Picture in My Mind
ROSÉ, Bruno Mars	APT.
XG	IS THIS LOVE
fromis_9	Supersonic
