Artist	Title
20syl, Alligatorz, Ron Puma, DJ Greem	Pra Ver Você Sambar - 20Syl Remix
8485, Danny Brown	G.I.R.L.
AVELLO, HXRT	ELECTRIC LOVE
Alex Banks	Falling Down
Alexa Melo	Limbo
Android52	Over the Clouds
Bad Computer, Bianca	Land of the Living
Bakermat, Lily Moore	Don't Wait (feat. Lily Moore)
Baths	Broadback
Baths	Superstructure
Bayonne, Gigamesh	Falls - Gigamesh Remix
Beacon	Fields
Beacon	Little Words (Bonus Track)
Billie Eilish	LUNCH
Bloc Party	Banquet
Bloc Party	Like Eating Glass
Blur	Song 2
Bonobo	Closer
Bonobo, Alex Banks, Andreya Triana	The Keeper - Alex Banks Remix
Booka Shade	In White Rooms
Bossfight	Milky Ways
CRi	My Own
CamelPhat, Elderbrook, Tutara Peak	Cola (feat. Elderbrook) - Tutara Peak Remix
Clean Bandit, Jess Glynne	Rather Be (feat. Jess Glynne)
CloudNone	snowflakes
D.O.D, Carla Monroe, Ekko & Sidetrack	Still Sleepless - Ekko & Sidetrack Remix
Danger	11:30
Danger	4:30
Daniel Allan, XIRA	Something More
Dark Sky	Vivid
Dorian Electra, Frost Children, atlgrandma	We Invented Love
Dusky	Proto Spoon
EDDIE	Abandon
Ekcle	Clandestine
Elderbrook	Talking
Elodin	Self
Extrawelt	Jetzt Neu: Alles Wie Früher
Ferdinand Dreyssig, Marvin Hey, Worakls	Coeur De La Nuit - Worakls Remix
Fine-Sir-1584660650	Some Things I've Been Thinking About Lately
Foehn Trio	Romy (And the World After)
Fox Stevenson	Ether
Freaks & Geeks	Waiting For You
Freeze corleone	Shavkat
Funtti	Mirror
FŒHN	Romy (And the World After)
Fœhn	Romy (And the World After)
GHOST DATA	Angelic Layer
Gigamesh, GrimesAI	The Precipice
Glass Museum	Electric Silence
Glass Museum	Wu
Groundislava	The Dig
Hiatus Kaiyote	Chivalry Is Not Dead
IMANU, Lia Kuri	Aching (On A High)
Ian Carey Project, Macon	Get Shaky (Macon's HYPERTECHNO Remix)
Immortal Onion	Triggers
Indian Wells	New Ruins
Isaac Delusion, Fhin	Distance - Fhin Remix
Jai Wolf, BANKS, Mild Minds	Don't Look Down (feat. BANKS) [Mild Minds Remix]
Jan Blomqvist	The Space In Between
Jan Blomqvist, Elena Pitoulis	More
Jasper Tygner, just lil	Strangers Around (feat. just lil)
KH, Solomun	Looking at Your Pager - Solomun Remix
Keenan Mathias	On That
Kessoncoda	Spaceliminal
Kiasmos, Bonobo	Blurred - Bonobo Remix
Kidnap, Dwara	Fortified
Kiid katze	PLEASE DIE RN
Koastle	What Was That
LAAKE	DONTGIVEITUP
Lane 8	Rave
Lane 8, Arctic Lake	What Have You Done To Me?
Lane 8, Davey Havok	Riptide
Lily Allen	Back to the Start
Little People, Rahel	Don't Give Up
Lusine, Vilja Larjosto	Won't Forget
MGMT	Electric Feel
Mammal Hands	Becoming
Martin Rott	Kinetic Theory
Moderat	A New Error
Moe Shop, Hentai Dude	Superstar
Mr. Bill	Loaf Boi
Mr. Bill	Oneironautics
Mr. Bill, M4NDY	Ride or Die
Mr. Bill, The Noisy Freaks	Satellite Slum
Mura Masa, Nao	Firefly
Ninajirachi, daine	It's You
Nine Inch Nails, deadmau5	Survivalism - deadmau5 Remix
No Mana	Lost Call
No Mana	Should’ve Brought My Switch
No Mana, EDDIE	Untitled Forever
No Mana, Winnie Ford	House of Cards
ODESZA, Låpsley	Equal
Petit Biscuit	Safe
Plini	Every Piece Matters
Plini	I'll Tell You Someday
Porter Robinson, Frost Children	Mona Lisa
Portugal. The Man	Feel It Still
Power Glove	Firebird
Pretty Girl	My Trust, My Love
PrototypeRaptor	Drive Hard
REVERSE	To The Edge
Radiohead	The Daily Mail
Rage Against The Machine	Bullet In The Head
Reid Willis	The Separator
Reid Willis	Underpunished
Rival Consoles	Sudden Awareness of Now
Royal Blood	Oblivion
Royal Blood	Out of the Black
SOTA, Circadian, Mila Falls	Mesmer
SUICIDAL-IDOL	ecstacy
Sandhouse	Circus
Sandhouse	Make Me Small
Seth Hills	The Middle
Shire T	Full Attention
Starjunk 95, BELELA	Ocean's End
Sub Focus, Metrik	Trip
Sungazer	Lunar
Sycco, Memphis LK	Ripple (Memphis LK Remix)
Tchami	Adieu
The Crayon Set, Gui Boratto	Summer Song (Gui Boratto Rework)
The Grogans	Kayak
The Ian Carey Project, Macon	Get Shaky (Macon's Remix)
The Smile	We Don't Know What Tomorrow Brings
The Toxic Avenger	Make This Right
Tigran Hamasyan	Entertain Me
Tigran Hamasyan	The Court Jester
Tigran Hamasyan	To Negate
Tinlicker	Xanadu
Tinlicker, Robert Miles	Children - Edit Mix
Tom Misch, Yussef Dayes	What Kinda Music
Tom VR	Siglo X
Tourist	Crush
Tourist, Gold Panda	+1
Tourist, Gold Panda	Acrylic
Tritonal, Angel Taylor, Koven	Getaway - Koven Remix
Tutara Peak, Zes	Light Fills the Room
Tycho, nimino	Small Sanctuary - nimino Remix
Uilou	マチアワセ
Wednesday	Bull Believer
Weval	MOVEMENT
Weval	MOVING ON
bôa	Frozen
bôa	Walk With Me
cleopatrick	GOOD GRIEF
deadmau5	Fn Pig
deadmau5	My Pet Coelacanth
deadmau5, Feed Me	Strobe - Feed Me Remix
ghost.	I SEE COLORS
ryscu	THE GHOST INSIDE
ryscu	only u
thomfjord	Intrastellar
underscores	Music
underscores	Spoiled little brat
☆NoAki☆	Suima
ヨルシカ	爆弾魔 - Re-Recording
