artist,title,album,duration,seconds,release,popularity,cover,spotify
"No Mana, Fader Lima",Frozen Fireworks,Game Over,8:30,510.0,2016-09-02,0,https://i.scdn.co/image/ab67616d0000b27394ca720bf831e8e2a1b71628,https://open.spotify.com/track/0xF00mmBTUYhdr3sIQmrMf
deadmau5,GG,mau5ville: Level 2,8:30,510.0,2018-11-16,0,https://i.scdn.co/image/ab67616d0000b273e43aec063c63f4944cff939d,https://open.spotify.com/track/7l5oLpnhAk3CZwYp2nsXLx
Loco Dice,Paradiso,Harissa,8:30,510.09,2006-01-01,0,https://i.scdn.co/image/ab67616d0000b27343d2225773fe11148271381f,https://open.spotify.com/track/5YZUMjEqSaL2LKAw4rhjrE
ibi,Experience - 2020 Version,Experience (2020 Version),8:30,510.15,2020-10-24,8,https://i.scdn.co/image/ab67616d0000b2735314a7398d300d6789d80a9d,https://open.spotify.com/track/68JyBnSv70MUhyc7PJRXCw
"Howling, RY X, Frank Wiedemann",Phases,Colure,8:30,510.31,2020-07-24,38,https://i.scdn.co/image/ab67616d0000b273187f9f164334444bc54c17ae,https://open.spotify.com/track/316HQIEeu7EeElPEporxNN
Worakls,Sanctis,Sanctis,8:30,510.48,2017-09-15,41,https://i.scdn.co/image/ab67616d0000b27391afd9df4b0d39d3d3856acd,https://open.spotify.com/track/0sYcjK5OsztfAO3bfuqIdk
Wednesday,Bull Believer,Bull Believer,8:30,510.77,2022-09-08,0,https://i.scdn.co/image/ab67616d0000b27330f611915a41baa0e98cfa26,https://open.spotify.com/track/6wYlN6ikOUsS0PQEI4XJMl
TrOLL3R,Inspiration - Original Mix,My Opinion,8:30,510.97,2014-06-02,1,https://i.scdn.co/image/ab67616d0000b2731b885f93e797acf6d35fa933,https://open.spotify.com/track/1Gs9CwFTOxIV1QrgjAycm4
Blanck Mass,Hive Mind,World Eater,8:31,511.13,2017-03-03,20,https://i.scdn.co/image/ab67616d0000b27351065e9fb104229170e81438,https://open.spotify.com/track/1gJCgEStskLOejWE8mqwdM
deadmau5,Word Problems,For Lack Of A Better Name,8:31,511.39,2009-01-01,21,https://i.scdn.co/image/ab67616d0000b273d49d976721f4dc6b3c6225ad,https://open.spotify.com/track/3DDVX8aOI8C4aFWh6XzbLu
Endless Dive,Gravity Always Wins,Endless Dive,8:31,511.75,2016-11-21,18,https://i.scdn.co/image/ab67616d0000b273e97c8a611edf12f6544064ec,https://open.spotify.com/track/1zU5GkKgAY4ny3sz47hYls
C418,click,Cookie Clicker,8:32,512.0,2021-09-01,34,https://i.scdn.co/image/ab67616d0000b2731622bcd7b629c4f3f202e249,https://open.spotify.com/track/3YZEGmXOPD01c20O9K0Wp7
Plini,Paper Moon,The End of Everything,8:32,512.4,2015-03-11,37,https://i.scdn.co/image/ab67616d0000b2735aa0863155feef78807def5d,https://open.spotify.com/track/7x5EenGQuADy10WD8NkQBT
Yes,Roundabout - 2008 Remaster,Yesstory,8:32,512.57,1992-09-15,40,https://i.scdn.co/image/ab67616d0000b27368edf28bd07ef9602ae2609f,https://open.spotify.com/track/49hwyXw1fU4u00EKVnGawb
"Arthur Hnatek, Atrice",Croire - Atrice Remix,Croire (Atrice Remix),8:33,513.5,2025-11-21,5,https://i.scdn.co/image/ab67616d0000b27341e4d6708765c0bf3a96ff20,https://open.spotify.com/track/2pX73jWNnTLHg91As3P3XJ
Atlantik,Mont Blanc - Original Mix,Heist,8:33,513.5,2013-04-25,17,https://i.scdn.co/image/ab67616d0000b273386e3020d9ea3fef74aa0302,https://open.spotify.com/track/0Exj5vTM34CVW1NvewaZ6R
Dan Kubo,Flakes - Original Mix,Flakes,8:34,514.58,2013-06-10,0,https://i.scdn.co/image/ab67616d0000b273b3642445fb793ed30c6d62f2,https://open.spotify.com/track/5LzfbslbOkvPJtbFkToFMh
Rob Clouth,Casimir,Zero Point,8:34,514.6,2020-03-12,12,https://i.scdn.co/image/ab67616d0000b273be45b49be459ec5f173d2134,https://open.spotify.com/track/2fMw7KdOScbonxF2iWSuDp
Atlantik,Politbuero,Gezeitenkoenig,8:35,515.0,2014-08-11,19,https://i.scdn.co/image/ab67616d0000b273a46a4fd785a3f87e0dbaa028,https://open.spotify.com/track/5WUIMkEzzpAm9hcmSpejRT
Aphex Twin,Ziggomatic 17,Drukqs,8:35,515.35,2001-10-22,33,https://i.scdn.co/image/ab67616d0000b2732e261a0b1b19d0ff95e346b3,https://open.spotify.com/track/5aRwabnchcotjjCps4KIkx
Aphex Twin,Ziggomatic 17,Drukqs,8:35,515.35,2001-10-22,0,https://i.scdn.co/image/ab67616d0000b273a5aef98a1762d0f64bb6ed9a,https://open.spotify.com/track/5INiUKTgZ9RC1PY1qntPcq
C418,Taswell,Minecraft - Volume Beta,8:35,515.5,2013-11-09,5,https://i.scdn.co/image/ab67616d0000b2734cf0b29eb06a92aa96acae64,https://open.spotify.com/track/6PwVnlNwVKGD18lWNCh1It
Parcels,Everyroad,Parcels,8:35,515.89,2018-10-12,43,https://i.scdn.co/image/ab67616d0000b273d26bc8655d6132c9e243f82e,https://open.spotify.com/track/5233fZGEk0FY0AzdgLaWch
"David Maxim Micic, Dan Wieten",Satellite,ECO,8:36,516.28,2015-08-16,0,https://i.scdn.co/image/ab67616d0000b273621c58190643079d5dadf9d1,https://open.spotify.com/track/3p238pSOEGdfvWtwp75Ka8
Stil & Bense,Lilith,Lilith,8:37,517.34,2019-09-20,0,https://i.scdn.co/image/ab67616d0000b27333ca432a4eddbb92d02feb60,https://open.spotify.com/track/6yx9zRTFM0zvz9l1YBjnNj
Rival Consoles,Noise Call and Response II,Overflow,8:37,517.36,2021-12-03,11,https://i.scdn.co/image/ab67616d0000b27397d0ed5e1d15e6b069b277bf,https://open.spotify.com/track/6ufGhl9AkPCZl78JdvLELi
Vessels,Mobilise,The Great Distraction,8:37,517.41,2017-09-29,16,https://i.scdn.co/image/ab67616d0000b273f321d960ec83c1f30a7f1898,https://open.spotify.com/track/21wNfrKOnPW1qwrarhLD0o
Vessels,Mobilise,The Great Distraction,8:37,517.41,2017-09-29,0,https://i.scdn.co/image/ab67616d0000b273eec4a05494aed9a7d1243fb9,https://open.spotify.com/track/13QwzIEtbuOgHXbwonVNxR
the olllam,an exillle's dream,elllegy,8:38,518.4,2022-05-15,26,https://i.scdn.co/image/ab67616d0000b27385ba41a118e4d53232ef1636,https://open.spotify.com/track/5x8GIoIyhtl42P8jpZVKWm
deadmau5,4ware,W:/2016ALBUM/,8:39,519.02,2016-12-02,0,https://i.scdn.co/image/ab67616d0000b273a43f9418af7e912a42b40d27,https://open.spotify.com/track/0GOQeE4W4wKybv3xlta26G
deadmau5,4ware,W:/2016ALBUM/,8:39,519.1,2016-12-02,1,https://i.scdn.co/image/ab67616d0000b2739d899e2ff603f30ace1159a5,https://open.spotify.com/track/1ROBixGgXrYlcCcrBfxAoy
"Extrawelt, Dominik Eulberg",Not on a Map,A Little Further,8:39,519.43,2014-05-19,35,https://i.scdn.co/image/ab67616d0000b273cff287326bef5a7ae863d879,https://open.spotify.com/track/5iRQdyNBnvPv2ypxwHyELf
Fishmans,DAYDREAM,宇宙 日本 世田谷,8:39,519.76,1997-07-24,49,https://i.scdn.co/image/ab67616d0000b273f0848eae2594bbab3c3d4363,https://open.spotify.com/track/2BVeeIDSD2dCnkNMhGDYK4
Solomun & Stimming,Eiszauber,Feuer & Eis EP,8:39,519.79,2007-04-20,0,https://i.scdn.co/image/ab67616d0000b273f7efd536286e8d8419f3502e,https://open.spotify.com/track/1JsJq01ueQjdointwXVSYL
deadmau5,nosedive,Polar (Music from the Netflix Film),8:40,520.0,2019-01-25,0,https://i.scdn.co/image/ab67616d0000b2735e4598b3200dd93fba9a6fd8,https://open.spotify.com/track/5rtXelI2ZRBCpTGgstkGY2
DjRUM,Blue Violet,Portrait with Firewood,8:40,520.55,2018-08-17,41,https://i.scdn.co/image/ab67616d0000b2732d5af4187f948ca2be1f4ff8,https://open.spotify.com/track/1vFamdetUBxidfNQmOd2vk
Ben Lukas Boysen,Medela,Mirage,8:41,521.02,2020-05-01,30,https://i.scdn.co/image/ab67616d0000b2730b6a51c2dc3c3df9c3a743d1,https://open.spotify.com/track/1oSCxHOILkJAauPBzKBroD
Dapayk solo,Breaking The Clouds,Breaking The Clouds,8:41,521.1,2020-04-17,0,https://i.scdn.co/image/ab67616d0000b2739a65776559e12708b11c06ea,https://open.spotify.com/track/5dLkoocLN0wZPeV9NDMwlC
"deadmau5, Chris James",The Veldt,> album title goes here <,8:41,521.89,2012-01-01,52,https://i.scdn.co/image/ab67616d0000b2734adb471799a828cea0263e65,https://open.spotify.com/track/5YaqbhEmoxSpIbdBTPG6KQ
"Sebastian Mullaert, Joris Voorn",You're An Orchestra In The Cosmos - Joris Voorn Remix,You're An Orchestra In The Cosmos,8:42,522.07,2015-12-25,0,https://i.scdn.co/image/ab67616d0000b273c8af25bbc3936cf1ff6d238e,https://open.spotify.com/track/4EOxjNZtlZEUPO62UolMoK
Jane Remover,Video,Census Designated,8:42,522.87,2023-10-20,0,https://i.scdn.co/image/ab67616d0000b273fb00c3d046c9e0c64331e86d,https://open.spotify.com/track/09Ih7ZKVvDG6ykYznIdeHQ
