Artist	Title
Cola Boyy, The Avalanches	Don't Forget Your Neighborhood
DLG.	Out of State
Dolphin Machine	Sunshine Gradient
Dora Jar	Timelapse
Duskus	Call Me
Eyezic, demotapes	Somebody Else
Gen Hoshino	Comedy
GlobulDub	Sail
Grizzly Bear	Two Weeks
John Keek	somuchlove
Kero Kero Bonito	Flamingo
Parcels	Free - Single Version
Phoenix	1901
Phoenix	Lasso
Phoenix	Lisztomania
Phoenix	Rome
Point Point	La raison
Powfu, beabadoobee, blink-182	death bed (feat. beabadoobee & blink-182) - bonus remix
Steve Lacy	Bad Habit
Vampire Weekend	A-Punk
anbuu, Blue Wednesday	Moods
deadmau5, Benny Benassi, Gary Go, BYNX	The Veldt Cinema - BYNX Edit
