Artist	Title
Arlo, Emi Grace	Besides You
BAYNK	When I Think About Us
BRUX, Kimbra, Throwing Snow	Take ft. Kimbra (Throwing Snow Remix)
Cameo Blush	Essa
Daniel Allan, XIRA	Something More
Fred again.., Romy, HAAi	Lights Out
Kaskade, Punctual, Poppy Baskcomb	Heaven Knows
Malixe, Jade Sierra	Haven
Marley Carroll	Heartbeats - Edit
Ninajirachi	CSIRAC
Petit Biscuit, Lizzy Land	Everything In Its Right Place
Reiny, EZIA	Missing Me - Extended
SWIM	The Ride
Sound of Fractures	My Love For You
Sysdemes, Syberlilly	Casualty
Tsu Nami	eye2eye
Weval	JUST FRIENDS
Weval	MOVEMENT
Whethan, LAVINIA	Cola
ghost.	I SEE COLORS
wes mills	emotion
wes mills	need u
