Artist	Title
Azaleh	Abyssal Calls
BOP, Unquote	Drifting Away
CRUSH3d	Slug
CRi, Bernache	From Me - CRi Remix
Chet Porter	What You Need
CloudNone	Beacon
Fred again.., Romy, HAAi	Lights Out
Froman	No More
HVOB	Void
Harry Hayes	More of You
Kyau & Albert, Boss Axis	Kiksu - Boss Axis Remix
Marley Carroll	One More Year
Montee	98 Sunset
Montee	feels like you
MÒZÂMBÎQÚE, il:lo	Inner Voice - Remix
Nathan Fake	Outhouse - Main Mix
Ordley	4EVA
Petit Biscuit, Lizzy Land	Everything In Its Right Place
QUIX	Arpeggio (Interlude)
Rob Clouth	The Vacuum State
Romy, HAAi, Fred again..	Lights Out (feat. Fred again..) - HAAi Remix
SWIM	First Day of the Year
Sonny Side Up	Ghosted
Submotion Orchestra	Amira
Syence	the distance
TDJ, fknsyd	Open Air
Thomas Adagio, Gigamesh	Stand Up
edapollo	Aurora
edapollo, Pool Girl	I liked it - edapollo edit
wes mills	flying high
