Artist	Title
Chrystal, NOTION	The Days - NOTION Remix
Clean Bandit, Jess Glynne	Rather Be (feat. Jess Glynne)
Clean Bandit, Zara Larsson	Symphony (feat. Zara Larsson)
DROELOE	Only Be Me
DROELOE, San Holo, CUT_	Lines of the Broken
Deorro, Chris Brown	Five More Hours
FISHER	Losing It
Jack Shore, Azuzu, Juma Iking, Jeroen Antoine	Nijmegen 09.12.24 (feat. Jeroen Antoine)
KH, Solomun	Looking at Your Pager - Solomun Remix
Kaskade, Punctual, Poppy Baskcomb	Heaven Knows
Ninajirachi	Undo U
Ninajirachi	Undo U - 4x4 Mix
Ninajirachi, Kota Banks	Kota on the plane
Oklou, underscores	harvest sky
Tiësto, Rudimental, Absolutely	Waterslides
Tover, Arlo, Emi Grace	the little things
Veela	Versatile
Wavedash	Dummo Loop
Yeah Yeah Yeahs, A-Trak	Heads Will Roll - A-Trak Remix
Zeds Dead, DROELOE	Stars Tonight
