Artist	Title
Alan Olewnik	Deeper Love
Frost Children	ANGEL'S THOUGHTS
Ganja White Night, Mr. Bill	Billdozer
Ganja White Night, Mr. Bill, Wasiu	Ego Death
Kota Banks, Ninajirachi	Nice Girls Finish Last
Mr. Bill	Pleasure Seeker
Mr. Bill, Exorbiter	sudo
Mr. Bill, Of The Trees	Pish Posh
Ninajirachi, Kota Banks	Crush Me
Ninajirachi, Raj Mahal	Hidden Land
Oklou, Bladee	take me by the hand
Sharks	close your eyes and dance
Smoakland, INZO	Never Go Back
SoDown, Mr. Bill	Eskimo
blanketdragon, Mr. Bill	Life In Reverse
underscores	Music
