Artist	Title
AK, Sublab	Autopilot
ALPHI	Helium
BUDD	Ghost
Bad Computer, Bianca	Land of the Living
Charli xcx	Von dutch
Direct, CloudNone	Bring Me Back
Disclosure, Eliza Doolittle, Baauer	You & Me - Baauer Remix
Disco Lines, demotapes	RWEOK?
Few Nolder	One
James Egbert, No Mana	Alive
KH, Solomun	Looking at Your Pager - Solomun Remix
Kindrid, Makay, Eswyn	Door City
Lane 8, Grigoré	Pipi Dormir (GDJB Weekly Drive 14)
Lane 8, Kasablanca	Run
No Mana	Bed of Stars
No Mana	Distance
No Mana	Lost Call
No Mana	Loud Thoughts
No Mana	Phoenix up
No Mana	Yesterday
No Mana, Olivera	My Way To You (feat. Olivera)
No Mana, SOFI	Digital Friends
No Mana, Voicians	Justify
No Mana, Winnie Ford	Constellations
No Mana, ill-esha	Space
No Mana, vowl., Leyla Diamondi	Falling in Love
Overmono	Is U
Party Favor	Too Much
REVERSE	To The Edge
RÜFÜS DU SOL	On My Knees
Sammy Virji	If U Need It
Sublab, Danni Carra	Into It (with Danni Carra)
Sublab, imallryt	Next to Me
Sublab, Øneheart, Danni Carra	ultra fantasy
Sysdemes	62
Sysdemes, Sarah Yong	Shattered Pieces
Tourist	Crush
Tycho, nimino	Small Sanctuary - nimino Remix
Vikkstar, RetroVision, Dyson	Have It All
deadmau5, Kaskade, John Summit	I Remember - John Summit Remix
gyrofield, inkwill	Out of My Mind (feat. inkwill)
pluko	RUNAWAY
