Artist	Title
	SAINt JHN - Roses - Said the Sky Remix [Metal_Rock Cover]
A. G. Cook	Beautiful (2023 Edit)
AAAMYYY	屍を越えてゆけ
Aethoro, Moon Jelly	Unravelling
Aimer	Brave Shine
Amy Winehouse	Back To Black
Anamanaguchi, HANA	On My Own
Android52	FOREVER
Arkasia	It's Only
Azedia	Something
Baths	I Form
Baths	Miasma Sky
Baths	Superstructure
Baths	Worsening
Big Thief	Simulation Swarm
Billie Eilish	WILDFLOWER
Blue Foster	IDK If I'm a Boy
Brecon	Wound
Burial	Archangel
C418	Alpha
CFCF, Jean-Michel Blais	Hypocrite
CRNKN	Far, Hidden and Away - Intro
Cavetown	This Is Home
Chrome Sparks	Send The Pain On
Cinnamon Chasers, Russ Davies	Hurricane
CloudNone	snowflakes
Conrad.	we stayed up all night
Couros	Cracks
Cubicolor	Points Beyond
Culprate, Keota, sophie meiers	Mechanic Heartbeat
DEADLIFE	Strands Unravel
DROELOE, Banji	Landscape
DVRST	My Toy
Danger	11:30
Danny L Harle, DJ Danny, Flume	On A Mountain - Flume Remix
David Maxim Micic	Milk Tooth
David Maxim Micic	Universe in a Crayon
David Maxim Micic, Aleksandra Djelmas	Are We There Yet?
Direct, Danyka Nadeau	Same Thing
Disclosure, Eliza Doolittle, Baauer	You & Me - Baauer Remix
Duskus	My Heart
Feed Me, Tasha Baxter	Reckless
Ferdinand Dreyssig, Marvin Hey, Worakls	Coeur De La Nuit - Worakls Remix
Forester, Kidnap	To Feel Alive
Fred again.., Lil Yachty, Overmono	stayinit
French 79, Sarah Rebecca	Diamond Veins
French 79, Sarah Rebecca	Diamond Veins (feat. Sarah Rebecca)
G Jones, Eprom	By Your Side
GHOST DATA, Revenant, North Sky	By Your Side - Remix
Geoxor	Neon Eyes
GoGo Penguin	Raven
Golden Vessel, Emerson Leif	Hesitate
Grandbrothers	Cybèle
Grissini Project	Path of the Wind (My Neighbor Totoro Original Motion Picture Soundtrack)
Groundislava, Jake Weary	Gravity Hoarding
Harrison	Here Comes the Rush
Himera	I'm Not Afraid
Hydelic	Connected (Yours Forever) [In-Game Mix]
IC3PEAK, ZillaKami	TRRST
In Embers	Binary Stars
Jim-E Stack	Raving On My Own
Jimbo Jones	Almost Post Coital
John Keek	somuchlove
Jordan Rakei	Clouds
Katy Perry, rxi	california gurls (rxi flip remix)
Knapsack	Synth Grass
Lane 8, Art School Girlfriend	The Deep
Lena Raine, Minecraft	Infinite Amethyst
Lorde	Favourite Daughter
Lubalin	just love
MIKA	Relax, Take It Easy
Major Lazer, Amber Coffman, Chrome Sparks	Get Free - Chrome Sparks Remix
Man Is Not a Bird	Tendresse
Marta Vega	Bye
Mazde	NGLYG
Miami Horror	Sometimes
Michael Clifford, Porter Robinson	kill me for always (feat. porter robinson)
Nils Frahm	Berduxa
Nils Frahm	More
Ninajirachi	Sing Good
ONE OK ROCK	Broken Heart of Gold
ONE OK ROCK	Kimishidai Ressha
Oklou, Bladee	take me by the hand
Panda Eyes, Teminite, Anna Yvette	Immortal Flame
Perturbator, Hayley Stewart	Sentient (feat. Hayley Stewart)
Petit Biscuit	Sunset Lover
Plini	I'll Tell You Someday
Polynation	Toba
Porter Robinson	Russian Roulette
Porter Robinson	Year of the Cup
Porter Robinson, Amy Millan	Divinity
Porter Robinson, TEED	Unfold
Porter Robinson, Totally Enormous Extinct Dinosaurs	Unfold
RY X, Notre Dame	Lençóis (Love Me) - Notre Dame Remix
Radiohead	All I Need
Richy Mitch & The Coal Miners	Evergreen
Rival Consoles	Sudden Awareness of Now
Rodriguez Jr.	Lila
Royal Blood	Oblivion
STEREO DIVE FOUNDATION	Daisy
SWIM	Close
SWIM	The Ride
Sabrepulse, Knife City	First Crush
SawanoHiroyuki[nZk], mizuki	Avid
SawanoHiroyuki[nZk], たかはしほのか	LilaS
Serph	In Your Arms
Shirobon	Born Survivor
Tami T	Heart of a Dog
The Smile	We Don't Know What Tomorrow Brings
TheFatRat	Never Be Alone
Tigran Hamasyan	37 Newlyweds
Tiësto, Rudimental, Absolutely	Waterslides
Tom Odell	Another Love
Tutara Peak, Zes	Light Fills the Room
UFOs, Braxe + Falcon, Phoenix, Alan Braxe, DJ Falcon	UFO
WRLD, Veronika Redd	Little Too Close
Wintergatan	Valentine
Yedgar	Never Say Goodbye
Yvette Young	Yearn
acloudyskye	Spill
bôa	Duvet
deadmau5	Strobe
deadmau5, Benny Benassi, Gary Go, BYNX	The Veldt Cinema - BYNX Edit
driftcat	heal
ena mori, Tomggg	nantene
i_o, Tommy Trash, Daisy Guttridge	Let Me Go
the olllam, John McSherry, Michael Shimmin, Tyler Duncan	bridge of glllass
the peggies	はちみつ
tsubi club	laced up
underscores	Spoiled little brat
wilo wilde	shy girl
yeule	Anthems For A Seventeen Year-Old Girl - From “I Saw the TV Glow”
yeule	inferno
いとうかなこ	Hacking to the Gate
エミリア(CV:高橋李依)	STAY ALIVE
ヨルシカ	爆弾魔 - Re-Recording
中村佳穂	そのいのち
美波	ホロネス
