Artist	Title
Charli xcx	I think about it all the time
Morgan Page	The Longest Road - Deadmau5 Remix
deadmau5	4ware
deadmau5	Bot
deadmau5	Brazil - 2nd Edit
deadmau5	Clockwork
deadmau5	Coelacanth II
deadmau5	Faxing Berlin
deadmau5	Fn Pig
deadmau5	Glivch
deadmau5	HR 8938 Cephei - Original Mix
deadmau5	Imaginary Friends
deadmau5	Lack Of A Better Name
deadmau5	My Pet Coelacanth
deadmau5	Not Exactly
deadmau5	October
deadmau5	Phantoms Can't Hang
deadmau5	Saved
deadmau5	Snowcone
deadmau5	Soma
deadmau5	Some Chords
deadmau5	Strobe
deadmau5	The 16th Hour
deadmau5	Unspecial effects
deadmau5	We Fail
deadmau5	Word Problems
deadmau5, ATTLAS	bad at titles
deadmau5, Chris James	The Veldt - 8 Minute Edit
deadmau5, Grabbitz	Let Go
deadmau5, Mr. Bill	10.8
deadmau5, Wolfgang Gartner	Animal Rights
deadmau5, i_o	Imaginary Friends - i_o Remix
