Artist	Title
20syl, Oddisee	Ongoing Thing
20syl, Rita J	Voices
AAAMYYY	屍を越えてゆけ
Atoms For Peace	Dropped
Atoms For Peace	Ingenue
Bayonne, Gigamesh	Falls - Gigamesh Remix
C2C, Rita J, Moongaï	Kings Season
Dillon, Monokle	A Matter of Time - Monokle Remix
Disclosure, AlunaGeorge	White Noise
Disclosure, Eliza Doolittle, Baauer	You & Me - Baauer Remix
Disclosure, Eliza Doolittle, Flume	You & Me - Flume Remix
Disclosure, Sam Smith	Latch
Electrocado	Lord Dustwang
Enola	Words In a Bottle (Rodriguez Jr. Remix)
Few Nolder	Clouds - Boso Reversion
Flux Pavilion, What So Not, The Chain Gang Of 1974	20:25
Fred again.., The Blessed Madonna	Marea (we’ve lost dancing)
Funkin Matt	Ultraviolet
Gavin Turek	Good Look For You (Gigamesh Remix)
Howling, RY X, Frank Wiedemann	Phases
Howling, RY X, Frank Wiedemann, Adriatique	Need You Now - Adriatique Remix
Howling, RY X, Frank Wiedemann, Âme	Howling - Âme Remix
Isaac Delusion, Fhin	Distance - Fhin Remix
Jake Chudnow	Shona
James Egbert, No Mana	Alive
Kubbi	Pathfinder
Kx5, deadmau5, Kaskade, HAYLA	Escape (feat. Hayla)
LOOK MUM NO COMPUTER	Groundhog Day
Lane 8, Kasablanca	Run
Mazde, Khary	Neverland
Mazde, Rromarin	Silence Speaks
No Mana	Bed of Stars
No Mana	Bottle Service
No Mana	Distance
No Mana	Floppy Disk Nightmares
No Mana	Phoenix up
No Mana	Something About You
No Mana	Special Move
No Mana	VVVR
No Mana, Chipzel	Secret Level
No Mana, EDDIE	Fragile Human
No Mana, Jantine	Strangers
No Mana, Voicians	Only Noise
No Mana, ill-esha	Space
ODESZA, Zyra	Say My Name
Perturbator, Hayley Stewart	Sentient (feat. Hayley Stewart)
Petit Biscuit	Safe
REVERSE	To The Edge
Röyksopp, Karen Harding	Unity - Edit
TWO LANES	Closer
Tchami	Adieu
Tepr	Hello E
Tinlicker, CUT_	If I Was
Virtual Riot	Energy Drink
Yeah Yeah Yeahs, A-Trak	Heads Will Roll - A-Trak Remix
