Artist	Title
Agent Fresco	Dark Water
Alexa Melo	Dope Sick
Alexa Melo	Idioteque
Alexa Melo	Lotus Flower
And So I Watch You from Afar	Dying Giants
Another One Down!	Exeter
Apparat	Bad Kingdom - Lulu's Version
Arthur Yoria	At Least You've Been Told
Artio	Split Soul
Audioslave	Show Me How to Live
Bad Omens	THE DEATH OF PEACE OF MIND
Bloc Party	Banquet
Bloc Party	Blue Light
Bloc Party	Helicopter
Bloc Party	Like Eating Glass
Bloc Party	Luno
Bloc Party	Positive Tension
Bloc Party	She's Hearing Voices
Bloc Party	This Modern Love
Blur	Song 2
Bring Me The Horizon	Top 10 staTues tHat CriEd bloOd
Carly Cosgrove	You Old Dog
Closure in Moscow	Seeds of Gold
Crywolf	EXUVIUM [beauty is nothing but the beginning of terror, that we are still able to bear]
Daisy Brain	Small Matters
David Maxim Micic	Living Room
David Maxim Micic	Someone Else's Hat
David Maxim Micic	Who Bit the Moon
David Maxim Micic, Scampi	The Flock
Death From Above 1979	Freeze Me
Declan Welsh and The Decadent West	See You Around
Deftones	Be Quiet and Drive (Far Away)
Frank Carter & The Rattlesnakes	Lullaby
From Ashes to New	Bring Me To Life - Cover
Good Tiger	The Devil Thinks I'm Sinking
Hana Lili	Iconic
I Built the Sky	Wormhole Traveler
Inconsistent Me	Scumbag
Interpol	Obstacle 1
Interpol	PDA
Interpol	Stella Was A Diver And She Was Always Down
Intervals	String Theory
Jacal	Resonance - Midwest Emo Version
Knuckle Puck	Gold Rush
Kubbi	Firelight
Linkin Park	Numb
Man Is Not a Bird	Tendresse
Modem.	Above The Clouds
Nirvana	Smells Like Teen Spirit
ONE OK ROCK	Kimishidai Ressha
Ocean Alley	Confidence
Ocean Alley	Freedom Lover
Ocean Alley	Holiday
Ocean Alley	Lemonworld
Peter Bjorn and John	Young Folks
Phantogram	When I'm Small
Plini	Every Piece Matters
Plini	I'll Tell You Someday
Radiohead	Climbing Up the Walls - Remastered
Radiohead	Creep
Radiohead	Fake Plastic Trees
Radiohead	High And Dry
Radiohead	Just
Rage Against The Machine	Bullet In The Head
Rage Against The Machine	Killing In The Name
Red Hot Chili Peppers	Can't Stop
Red Hot Chili Peppers	Dark Necessities
Royal & the Serpent	Love Abuser (Save Me)
Royal Blood	Little Monster
Royal Blood	Oblivion
Royal Blood	Out of the Black
Shyeye	Knot
South Arcade	DANGER
South Arcade	Nepo Baby
South Arcade	Riptide
South Arcade	Sound Of An Empty Room
South Arcade	Supermodels
South Arcade	unaware
Strawberry Girls	Agua Verde
TV On The Radio	Happy Idiot
The Cucumbers	Illegal
The Grogans	Dead Weight
The Grogans	Got A Girl
The Grogans	How Would You Know
The Grogans	I Cannot Read Your Mind
The Grogans	Kayak
The Grogans	Lay Back
The Grogans	Lemon To My Lime
The Grogans	Money Will Chase You
The Grogans	No Sleep
The Grogans	Waste My Time
The Grogans	Woke Up Feeling Alright
The Intersphere, Plini	Ghost Train (feat. Plini)
The Orion Experience, ORION, Linda XO	The Cult of Dionysus
The Smashing Pumpkins	Mayonaise - 2011 Remaster
The Strokes	Reptilia
The Whip	Trash - Radio Edit
Thy Slaughter, A. G. Cook, Finn Keane	Immortal
Tides From Nebula	Ghost Horses
Vaundy	踊り子
Wednesday	Billboard
Wednesday	Bull Believer
Wednesday	Cody's Only
Wednesday	Fate Is...
Wednesday	Love Has No Pride - Condemned
Wednesday	Maura
Wednesday	November
Wednesday	Underneath
Weezer	Buddy Holly
While She Sleeps	TO THE FLOWERS
bôa	Frozen
bôa	Walk With Me
cleopatrick	2008
cleopatrick	FAMILY VAN
cleopatrick	GOOD GRIEF
cleopatrick	GREAT LAKES
cleopatrick	HAMMER
cleopatrick	NO SWEAT
cleopatrick	PEPPERS GHOST
cleopatrick	THE DRAKE
cleopatrick	VICTORIA PARK
cleopatrick	WHY JULY
cleopatrick	YA
cleopatrick	bernard trigger
cleopatrick	daphne did it
cleopatrick	hometown
cleopatrick	sanjake
cleopatrick	youth
ef	11 Shots and a Sudden Death
jacal	Resonance - Midwest Emo Version
sleepmakeswaves	Children
trentemøller	Still On Fire
underscores	Spoiled little brat
