Artist	Title
Adieu Aru	Classique
C418	Beton
Cinnamon Chasers	Lightchaser
Cinnamon Chasers	Luv Deluxe
Cinnamon Chasers	Minerals - CC Edit
Cinnamon Chasers	Speeder
De Lorra	T I L T
F.O.O.L	Conflict
Garoad	Digital Drive
Home	Head First
Home	Resonance
Le Couleur, Carpenter Brut	Vacances de 87 - Carpenter Brut Remix
Le Matos	Last Breath
M83	Midnight City
Magic Sword, The Toxic Avenger	The Curse (The Toxic Avenger Remix)
Mannequin, GHOSTSHELL	Bad Love
Revenant	get out of my head
The Toxic Avenger	Make This Right
Unfound	Reach
Voyage	Dream State
Voyage	Enter
Waveshaper	66 MHz
YOUTH 83	Euphoria
YOUTH 83	Rooftops
admo	Equinox
deadmau5	Mercedes
upusen	Flower club
