Artist	Title	More info
2charm	boyfriend
Astrale	See
Astrale	The Way I See
Bassvictim	Forever salty
Bladee	Eyelash
Bubble Love	Lying In The Sand
CNQR+	Glass life
Casual Affairs	lifeless
Catching Flies, Fejká	Iajo
Charli xcx, Bladee, A. G. Cook	Rewind featuring bladee
Disphing	inadequate
Ecco2k	Security!
Furui Riho, knoak	Hello
Harry Hayes	Sunflower
Horse Vision	Back Of My Hand
James Ivy	Stereo Play
Jane Remover	Magic I Want U
Just Jack	Starz In Their Eyes
KITSCHKRIEG, Blumengarten, Shirin David	Gut Genug (mit Blumengarten & Shirin David)
Kim Petras	I Like Ur Look
Lunnari	EASY TO LEAVE
Lykke Li, Mura Masa	Sick Of Love (Mura Masa Remix)
MARiMARi	HOT TOPiC
Magdalena Bay	That's My Floor
Magdalena Bay	The Ballad of Matt & Mica
Mat Zo, Porter Robinson	Easy
Memphis LK	Some Kinda Heaven
Metric	Antigravity
Metric	Dead Disco
Metric	The List
Metric	Victim Of Luck
Oklou	blade bird
Oklou, Bladee	take me by the hand
Passion Pit	Let Your Love Grow Tall
Porter Robinson	Language
Porter Robinson	Look at the Sky
Postamble	typo
Ryan Leahan, TASHKA	cambodia
SBTRKT, Sampha	Trials of the Past
STEREO DIVE FOUNDATION	Daisy
Sabrepulse, Knife City	First Crush
Slayyyter	DANCE...
Slayyyter	I'M ACTUALLY KINDA FAMOUS
Slayyyter	OLD TECHNOLOGY
Slayyyter	Out Of Time
Suki Waterhouse	My Fun
The Smashing Pumpkins	Perfect
Thy Slaughter, A. G. Cook, Finn Keane	O Fortuna
Tiffany Day	START OVER
True Blue	I Wanna Believe
Tutara Peak, Zes	Light Fills the Room
Two Shell	Live Forever
Vitesse X, Pearly Drops	Get In Girls
Yung Lean, Skrillex, Bladee, Ecco2k	SummerTime Blood
campthehills	lighters
driftcat	heal
feeble little horse	Dior
rebound girl	face it!
rebound girl	hoboken
runThis	turn Up the MUSIK
snuggle	Marigold
torr	rot
tsubi club	( ╥﹏╥ )
tsubi club	laced up [director's cut]
underscores	Spoiled little brat
underscores	Tell Me (U Want It)
webcage	are you mad
xaev	music sounds WORSE with U
