Artist	Title
IC3PEAK	Все равно
IC3PEAK	Еще
IC3PEAK	Интерлюдия
IC3PEAK	Марш
IC3PEAK	Мертвая Луна
IC3PEAK	Плак-Плак
IC3PEAK	У меня нет друзей
IC3PEAK	Я целую твой труп
IC3PEAK	мкАД
IC3PEAK, Ghostemane	Яма
IC3PEAK, Husky	Весело и грустно
IC3PEAK, ZillaKami	TRRST
Never Get Used To People	Life Letters
Never Get Used To People	Love Dies in the Garden with Winter Cherries
Never Get Used To People	Вырви
Never Get Used To People	Души
Never Get Used To People	Ненавижу море
Never Get Used To People	Поцеловались по дружбе
